reference_index,reference_id,parent_reference_index,parent_reference_id,source_id,source_archive,source_member,speed,cell_column,cell_row,length,hit_step,inactive_start_step,source_frames,tags
83,A3STRIKE-FULLCOVER-V02-R000083,84,A3STRIKE-FULLCOVER-R000084,A3STRIKE-FULLCOVER-S000084,npz.zip,npz/za_strike_col31_cand006_top006996_hit007255_return007441_end007471_a3_z15.npz,1.0,2,1,223,133,223,223,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
84,A3STRIKE-FULLCOVER-V02-R000084,85,A3STRIKE-FULLCOVER-R000085,A3STRIKE-FULLCOVER-S000085,npz.zip,npz/za_strike_col31_cand007_top007057_hit007320_return007441_end007471_a3_z15.npz,1.0,2,1,198,135,198,198,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
85,A3STRIKE-FULLCOVER-V02-R000085,86,A3STRIKE-FULLCOVER-R000086,A3STRIKE-FULLCOVER-S000086,npz.zip,npz/za_strike_col31_cand008_top007372_hit007401_return007460_end007490_a3_z15.npz,1.0,3,2,142,105,142,142,task=strike|speed=speed_1p0|cell=cell_3_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
86,A3STRIKE-FULLCOVER-V02-R000086,87,A3STRIKE-FULLCOVER-R000087,A3STRIKE-FULLCOVER-S000087,npz.zip,npz/za_strike_col31_cand012_top008372_hit008608_return008747_end008777_a3_z15.npz,1.0,1,1,194,123,194,194,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
87,A3STRIKE-FULLCOVER-V02-R000087,88,A3STRIKE-FULLCOVER-R000088,A3STRIKE-FULLCOVER-S000088,npz.zip,npz/za_strike_col31_cand013_top008908_hit009060_return009195_end009225_a3_z15.npz,1.0,2,1,158,88,158,158,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
88,A3STRIKE-FULLCOVER-V02-R000088,89,A3STRIKE-FULLCOVER-R000089,A3STRIKE-FULLCOVER-S000089,npz.zip,npz/za_strike_col31_cand014_top009349_hit009540_return009666_end009696_a3_z15.npz,1.0,1,1,170,105,170,170,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
89,A3STRIKE-FULLCOVER-V02-R000089,90,A3STRIKE-FULLCOVER-R000090,A3STRIKE-FULLCOVER-S000090,npz.zip,npz/za_strike_col31_cand015_top009701_hit009984_return010176_end010206_a3_z15.npz,1.0,2,1,236,143,236,236,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
90,A3STRIKE-FULLCOVER-V02-R000090,91,A3STRIKE-FULLCOVER-R000091,A3STRIKE-FULLCOVER-S000091,npz.zip,npz/za_strike_col31_cand016_top009906_hit010046_return010176_end010206_a3_z15.npz,1.0,1,1,150,83,150,150,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
91,A3STRIKE-FULLCOVER-V02-R000091,92,A3STRIKE-FULLCOVER-R000092,A3STRIKE-FULLCOVER-S000092,npz.zip,npz/za_strike_col31_cand017_top010170_hit010427_return010622_end010652_a3_z15.npz,1.0,2,1,226,132,226,226,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
92,A3STRIKE-FULLCOVER-V02-R000092,93,A3STRIKE-FULLCOVER-R000093,A3STRIKE-FULLCOVER-S000093,npz.zip,npz/za_strike_col31_cand018_top010216_hit010487_return010622_end010652_a3_z15.npz,1.0,1,1,207,138,207,207,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
93,A3STRIKE-FULLCOVER-V02-R000093,94,A3STRIKE-FULLCOVER-R000094,A3STRIKE-FULLCOVER-S000094,npz.zip,npz/za_strike_col31_cand019_top010694_hit010930_return011062_end011092_a3_z15.npz,1.0,1,1,191,123,191,191,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
94,A3STRIKE-FULLCOVER-V02-R000094,95,A3STRIKE-FULLCOVER-R000095,A3STRIKE-FULLCOVER-S000095,npz.zip,npz/za_strike_col31_cand020_top010975_hit011005_return011064_end011094_a3_z15.npz,1.0,2,2,134,97,134,134,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
95,A3STRIKE-FULLCOVER-V02-R000095,96,A3STRIKE-FULLCOVER-R000096,A3STRIKE-FULLCOVER-S000096,npz.zip,npz/za_strike_col31_cand021_top011056_hit011300_return011487_end011517_a3_z15.npz,1.0,3,1,218,127,218,218,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
96,A3STRIKE-FULLCOVER-V02-R000096,97,A3STRIKE-FULLCOVER-R000097,A3STRIKE-FULLCOVER-S000097,npz.zip,npz/za_strike_col31_cand022_top011116_hit011354_return011487_end011517_a3_z15.npz,1.0,1,1,193,124,193,193,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
97,A3STRIKE-FULLCOVER-V02-R000097,98,A3STRIKE-FULLCOVER-R000098,A3STRIKE-FULLCOVER-S000098,npz.zip,npz/za_strike_col31_cand023_top011474_hit011747_return011861_end011891_a3_z15.npz,1.0,2,1,230,169,230,230,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
98,A3STRIKE-FULLCOVER-V02-R000098,99,A3STRIKE-FULLCOVER-R000099,A3STRIKE-FULLCOVER-S000099,npz.zip,npz/za_strike_col31_cand024_top011547_hit011812_return011939_end011969_a3_z15.npz,1.0,1,1,201,135,201,201,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
99,A3STRIKE-FULLCOVER-V02-R000099,100,A3STRIKE-FULLCOVER-R000100,A3STRIKE-FULLCOVER-S000100,npz.zip,npz/za_strike_col31_cand025_top011848_hit011891_return011950_end011980_a3_z15.npz,1.0,2,2,135,97,135,135,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
100,A3STRIKE-FULLCOVER-V02-R000100,101,A3STRIKE-FULLCOVER-R000101,A3STRIKE-FULLCOVER-S000101,npz.zip,npz/za_strike_col31_cand026_top011971_hit012240_return012386_end012416_a3_z15.npz,1.0,1,1,211,137,211,211,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
101,A3STRIKE-FULLCOVER-V02-R000101,102,A3STRIKE-FULLCOVER-R000102,A3STRIKE-FULLCOVER-S000102,npz.zip,npz/za_strike_col31_cand028_top012843_hit013101_return013305_end013335_a3_z15.npz,1.0,3,1,230,132,230,230,task=strike|speed=speed_1p0|cell=cell_3_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
102,A3STRIKE-FULLCOVER-V02-R000102,103,A3STRIKE-FULLCOVER-R000103,A3STRIKE-FULLCOVER-S000103,npz.zip,npz/za_strike_col31_cand029_top012948_hit013165_return013305_end013335_a3_z15.npz,1.0,1,1,187,115,187,187,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
103,A3STRIKE-FULLCOVER-V02-R000103,104,A3STRIKE-FULLCOVER-R000104,A3STRIKE-FULLCOVER-S000104,npz.zip,npz/za_strike_col31_cand031_top013940_hit014172_return014372_end014402_a3_z15.npz,1.0,2,1,218,122,218,218,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
104,A3STRIKE-FULLCOVER-V02-R000104,105,A3STRIKE-FULLCOVER-R000105,A3STRIKE-FULLCOVER-S000105,npz.zip,npz/za_strike_col31_cand032_top014019_hit014232_return014372_end014402_a3_z15.npz,1.0,2,1,185,114,185,185,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
105,A3STRIKE-FULLCOVER-V02-R000105,106,A3STRIKE-FULLCOVER-R000106,A3STRIKE-FULLCOVER-S000106,npz.zip,npz/za_strike_col31_cand033_top014444_hit014706_return014862_end014892_a3_z15.npz,1.0,1,1,212,134,212,212,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
106,A3STRIKE-FULLCOVER-V02-R000106,107,A3STRIKE-FULLCOVER-R000107,A3STRIKE-FULLCOVER-S000107,npz.zip,npz/za_strike_col31_cand034_top014757_hit014813_return014872_end014902_a3_z15.npz,1.0,2,2,151,113,151,151,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
107,A3STRIKE-FULLCOVER-V02-R000107,108,A3STRIKE-FULLCOVER-R000108,A3STRIKE-FULLCOVER-S000108,npz.zip,npz/za_strike_col31_cand037_top015890_hit016120_return016263_end016293_a3_z15.npz,1.0,1,1,193,121,193,193,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
108,A3STRIKE-FULLCOVER-V02-R000108,109,A3STRIKE-FULLCOVER-R000109,A3STRIKE-FULLCOVER-S000109,npz (1).zip,npz/za_strike_col32_cand001_top002350_hit002529_return002640_end002670_a3_z15.npz,1.0,1,1,159,100,159,159,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
109,A3STRIKE-FULLCOVER-V02-R000109,110,A3STRIKE-FULLCOVER-R000110,A3STRIKE-FULLCOVER-S000110,npz (1).zip,npz/za_strike_col32_cand002_top005905_hit005987_return006113_end006143_a3_z15.npz,1.0,1,1,150,85,150,150,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
110,A3STRIKE-FULLCOVER-V02-R000110,111,A3STRIKE-FULLCOVER-R000111,A3STRIKE-FULLCOVER-S000111,npz (1).zip,npz/za_strike_col32_cand004_top011439_hit011544_return011684_end011714_a3_z15.npz,1.0,2,1,148,77,148,148,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
111,A3STRIKE-FULLCOVER-V02-R000111,112,A3STRIKE-FULLCOVER-R000112,A3STRIKE-FULLCOVER-S000112,npz (1).zip,npz/za_strike_col32_cand005_top011918_hit012047_return012155_end012185_a3_z15.npz,1.0,2,1,137,79,137,137,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
112,A3STRIKE-FULLCOVER-V02-R000112,113,A3STRIKE-FULLCOVER-R000113,A3STRIKE-FULLCOVER-S000113,npz (1).zip,npz/za_strike_col32_cand006_top012267_hit012453_return012561_end012591_a3_z15.npz,1.0,1,1,160,102,160,160,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
113,A3STRIKE-FULLCOVER-V02-R000113,114,A3STRIKE-FULLCOVER-R000114,A3STRIKE-FULLCOVER-S000114,npz (1).zip,npz/za_strike_col32_cand007_top012866_hit012997_return013099_end013129_a3_z15.npz,1.0,2,1,135,80,135,135,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
114,A3STRIKE-FULLCOVER-V02-R000114,115,A3STRIKE-FULLCOVER-R000115,A3STRIKE-FULLCOVER-S000115,npz (1).zip,npz/za_strike_col32_cand008_top013330_hit013509_return013607_end013637_a3_z15.npz,1.0,2,1,153,100,153,153,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
115,A3STRIKE-FULLCOVER-V02-R000115,116,A3STRIKE-FULLCOVER-R000116,A3STRIKE-FULLCOVER-S000116,npz (1).zip,npz/za_strike_col32_cand018_top018840_hit018999_return019134_end019164_a3_z15.npz,1.0,2,2,160,91,160,160,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
116,A3STRIKE-FULLCOVER-V02-R000116,117,A3STRIKE-FULLCOVER-R000117,A3STRIKE-FULLCOVER-S000117,npz (1).zip,npz/za_strike_col32_cand022_top021579_hit021604_return021680_end021710_a3_z15.npz,1.0,2,2,148,103,148,148,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
117,A3STRIKE-FULLCOVER-V02-R000117,118,A3STRIKE-FULLCOVER-R000118,A3STRIKE-FULLCOVER-S000118,npz (1).zip,npz/za_strike_col32_cand023_top024627_hit024655_return024777_end024807_a3_z15.npz,1.0,2,1,142,78,142,142,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
118,A3STRIKE-FULLCOVER-V02-R000118,119,A3STRIKE-FULLCOVER-R000119,A3STRIKE-FULLCOVER-S000119,npz (1).zip,npz/za_strike_col32_cand026_top030708_hit030765_return030903_end030933_a3_z15.npz,1.0,2,2,146,76,146,146,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
119,A3STRIKE-FULLCOVER-V02-R000119,120,A3STRIKE-FULLCOVER-R000120,A3STRIKE-FULLCOVER-S000120,npz (1).zip,npz/za_strike_col32_cand033_top034450_hit034620_return034772_end034802_a3_z15.npz,1.0,2,2,172,96,172,172,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
120,A3STRIKE-FULLCOVER-V02-R000120,121,A3STRIKE-FULLCOVER-R000121,A3STRIKE-FULLCOVER-S000121,npz (1).zip,npz/za_strike_col32_cand034_top034627_hit034705_return034772_end034802_a3_z15.npz,1.0,2,2,145,105,145,145,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
121,A3STRIKE-FULLCOVER-V02-R000121,122,A3STRIKE-FULLCOVER-R000122,A3STRIKE-FULLCOVER-S000122,npz (1).zip,npz/za_strike_col32_cand039_top039255_hit039391_return039532_end039562_a3_z15.npz,1.0,2,2,153,82,153,153,task=strike|speed=speed_1p0|cell=cell_2_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
122,A3STRIKE-FULLCOVER-V02-R000122,123,A3STRIKE-FULLCOVER-R000123,A3STRIKE-FULLCOVER-S000123,npz (2).zip,npz/za_strike_col41_cand001_top005452_hit005583_return005703_end005733_a3_z15.npz,1.0,1,1,143,80,143,143,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
123,A3STRIKE-FULLCOVER-V02-R000123,124,A3STRIKE-FULLCOVER-R000124,A3STRIKE-FULLCOVER-S000124,npz (2).zip,npz/za_strike_col41_cand002_top007075_hit007104_return007349_end007379_a3_z15.npz,1.0,1,2,196,81,196,196,task=strike|speed=speed_1p0|cell=cell_1_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
124,A3STRIKE-FULLCOVER-V02-R000124,125,A3STRIKE-FULLCOVER-R000125,A3STRIKE-FULLCOVER-S000125,npz (2).zip,npz/za_strike_col41_cand003_top010322_hit010367_return010512_end010542_a3_z15.npz,1.0,1,2,160,86,160,160,task=strike|speed=speed_1p0|cell=cell_1_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
125,A3STRIKE-FULLCOVER-V02-R000125,126,A3STRIKE-FULLCOVER-R000126,A3STRIKE-FULLCOVER-S000126,npz (2).zip,npz/za_strike_col41_cand005_top014820_hit014944_return015132_end015162_a3_z15.npz,1.0,2,1,168,77,168,168,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
126,A3STRIKE-FULLCOVER-V02-R000126,127,A3STRIKE-FULLCOVER-R000127,A3STRIKE-FULLCOVER-S000127,npz (2).zip,npz/za_strike_col41_cand007_top015293_hit015480_return015707_end015737_a3_z15.npz,1.0,2,1,210,103,210,210,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
127,A3STRIKE-FULLCOVER-V02-R000127,128,A3STRIKE-FULLCOVER-R000128,A3STRIKE-FULLCOVER-S000128,npz (2).zip,npz/za_strike_col41_cand010_top016534_hit016682_return016820_end016850_a3_z15.npz,1.0,1,1,157,87,157,157,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
128,A3STRIKE-FULLCOVER-V02-R000128,129,A3STRIKE-FULLCOVER-R000129,A3STRIKE-FULLCOVER-S000129,npz (2).zip,npz/za_strike_col41_cand011_top017057_hit017181_return017334_end017364_a3_z15.npz,1.0,1,1,153,77,153,153,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
129,A3STRIKE-FULLCOVER-V02-R000129,130,A3STRIKE-FULLCOVER-R000130,A3STRIKE-FULLCOVER-S000130,npz (2).zip,npz/za_strike_col41_cand014_top018811_hit018976_return019165_end019195_a3_z15.npz,1.0,2,1,185,94,185,185,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
130,A3STRIKE-FULLCOVER-V02-R000130,131,A3STRIKE-FULLCOVER-R000131,A3STRIKE-FULLCOVER-S000131,npz (2).zip,npz/za_strike_col41_cand015_top018864_hit019039_return019165_end019195_a3_z15.npz,1.0,1,1,163,98,163,163,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
131,A3STRIKE-FULLCOVER-V02-R000131,132,A3STRIKE-FULLCOVER-R000132,A3STRIKE-FULLCOVER-S000132,npz (2).zip,npz/za_strike_col41_cand016_top019478_hit019623_return019747_end019777_a3_z15.npz,1.0,1,1,150,85,150,150,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
132,A3STRIKE-FULLCOVER-V02-R000132,133,A3STRIKE-FULLCOVER-R000133,A3STRIKE-FULLCOVER-S000133,npz (2).zip,npz/za_strike_col41_cand017_top020040_hit020202_return020340_end020370_a3_z15.npz,1.0,1,1,163,92,163,163,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
133,A3STRIKE-FULLCOVER-V02-R000133,134,A3STRIKE-FULLCOVER-R000134,A3STRIKE-FULLCOVER-S000134,npz (2).zip,npz/za_strike_col41_cand018_top020672_hit020818_return021033_end021063_a3_z15.npz,1.0,2,1,188,86,188,188,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
134,A3STRIKE-FULLCOVER-V02-R000134,135,A3STRIKE-FULLCOVER-R000135,A3STRIKE-FULLCOVER-S000135,npz (2).zip,npz/za_strike_col41_cand020_top021989_hit022150_return022265_end022295_a3_z15.npz,1.0,1,3,153,92,153,153,task=strike|speed=speed_1p0|cell=cell_1_3|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
135,A3STRIKE-FULLCOVER-V02-R000135,136,A3STRIKE-FULLCOVER-R000136,A3STRIKE-FULLCOVER-S000136,npz (2).zip,npz/za_strike_col41_cand021_top022551_hit022706_return022960_end022990_a3_z15.npz,1.0,2,1,208,90,208,208,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
136,A3STRIKE-FULLCOVER-V02-R000136,137,A3STRIKE-FULLCOVER-R000137,A3STRIKE-FULLCOVER-S000137,npz (2).zip,npz/za_strike_col41_cand024_top024630_hit024815_return024936_end024966_a3_z15.npz,1.0,1,3,165,102,165,165,task=strike|speed=speed_1p0|cell=cell_1_3|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
137,A3STRIKE-FULLCOVER-V02-R000137,138,A3STRIKE-FULLCOVER-R000138,A3STRIKE-FULLCOVER-S000138,npz (2).zip,npz/za_strike_col41_cand027_top026000_hit026077_return026210_end026240_a3_z15.npz,1.0,1,3,149,81,149,149,task=strike|speed=speed_1p0|cell=cell_1_3|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
138,A3STRIKE-FULLCOVER-V02-R000138,139,A3STRIKE-FULLCOVER-R000139,A3STRIKE-FULLCOVER-S000139,npz (2).zip,npz/za_strike_col41_cand028_top026116_hit026155_return026214_end026244_a3_z15.npz,1.0,2,1,146,109,146,146,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
139,A3STRIKE-FULLCOVER-V02-R000139,141,A3STRIKE-FULLCOVER-R000141,A3STRIKE-FULLCOVER-S000141,npz (2).zip,npz/za_strike_col41_cand031_top027421_hit027471_return027530_end027560_a3_z15.npz,1.0,2,1,154,116,154,154,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
140,A3STRIKE-FULLCOVER-V02-R000140,142,A3STRIKE-FULLCOVER-R000142,A3STRIKE-FULLCOVER-S000142,npz (2).zip,npz/za_strike_col41_cand032_top027857_hit028020_return028088_end028118_a3_z15.npz,1.0,1,3,134,93,134,134,task=strike|speed=speed_1p0|cell=cell_1_3|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
141,A3STRIKE-FULLCOVER-V02-R000141,143,A3STRIKE-FULLCOVER-R000143,A3STRIKE-FULLCOVER-S000143,npz (2).zip,npz/za_strike_col41_cand033_top028513_hit028688_return028828_end028858_a3_z15.npz,1.0,1,2,169,98,169,169,task=strike|speed=speed_1p0|cell=cell_1_2|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
142,A3STRIKE-FULLCOVER-V02-R000142,144,A3STRIKE-FULLCOVER-R000144,A3STRIKE-FULLCOVER-S000144,npz (2).zip,npz/za_strike_col41_cand034_top028705_hit028766_return028828_end028858_a3_z15.npz,1.0,2,1,157,118,157,157,task=strike|speed=speed_1p0|cell=cell_2_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
143,A3STRIKE-FULLCOVER-V02-R000143,145,A3STRIKE-FULLCOVER-R000145,A3STRIKE-FULLCOVER-S000145,npz (2).zip,npz/za_strike_col41_cand035_top030471_hit030519_return030649_end030679_a3_z15.npz,1.0,1,1,145,77,145,145,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
144,A3STRIKE-FULLCOVER-V02-R000144,146,A3STRIKE-FULLCOVER-R000146,A3STRIKE-FULLCOVER-S000146,npz (2).zip,npz/za_strike_col41_cand036_top032959_hit033080_return033226_end033256_a3_z15.npz,1.0,1,1,166,92,166,166,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
145,A3STRIKE-FULLCOVER-V02-R000145,147,A3STRIKE-FULLCOVER-R000147,A3STRIKE-FULLCOVER-S000147,npz (2).zip,npz/za_strike_col41_cand037_top036111_hit036275_return036417_end036447_a3_z15.npz,1.0,1,1,165,93,165,165,task=strike|speed=speed_1p0|cell=cell_1_1|alignment=start_xy_home|yaw=source_preserved|provenance=natural_return
